iter	Passed	Remaining
327	636	1304
328	637	1300
329	639	1297
330	641	1295
331	642	1293
332	643	1289
333	645	1286
334	646	1282
335	647	1279
336	648	1276
337	649	1272
338	650	1269
339	652	1266
340	653	1263
341	656	1263
342	658	1261
343	659	1258
344	661	1255
345	662	1251
346	663	1248
347	664	1245
348	666	1242
349	667	1238
350	669	1237
351	671	1236
352	673	1234
353	674	1230
354	675	1227
355	677	1225
356	678	1221
357	679	1219
358	681	1216
359	684	1217
360	686	1215
361	688	1212
362	689	1210
363	690	1207
364	692	1204
365	693	1201
366	694	1198
367	696	1195
368	697	1192
369	699	1190
370	701	1188
371	702	1186
372	704	1183
373	705	1180
374	706	1177
375	707	1174
376	709	1171
377	710	1168
378	711	1165
379	713	1163
380	714	1161
381	716	1158
382	717	1155
383	718	1152
384	719	1149
385	720	1146
386	722	1143
387	723	1140
388	724	1137
389	725	1135
390	727	1132
391	729	1130
392	730	1128
393	731	1125
394	733	1122
395	734	1119
396	735	1116
397	736	1114
398	737	1111
399	739	1108
400	740	1105
401	741	1103
402	743	1101
403	745	1099
404	746	1096
405	747	1093
406	748	1090
407	749	1087
408	750	1085
409	752	1082
410	753	1079
411	754	1076
412	755	1074
413	757	1071
414	759	1070
415	760	1067
416	761	1064
417	762	1062
418	764	1059
419	765	1056
420	766	1053
421	767	1051
422	768	1048
423	770	1046
424	771	1044
425	773	1042
426	774	1039
427	776	1037
428	777	1034
429	778	1032
430	779	1029
431	781	1026
432	782	1024
433	783	1021
434	784	1019
435	786	1017
436	788	1015
437	789	1013
438	790	1010
439	792	1008
440	793	1005
441	794	1003
442	795	1000
443	796	997
444	798	995
445	799	992
446	801	991
447	802	988
448	803	986
449	805	983
450	806	981
451	807	978
452	808	976
453	809	973
454	810	970
455	811	968
456	812	965
